% Moku:BodeAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 100 mVpp
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 20 mVpp
% Logarithmic sweep, calibration off
% Averaging time 2.000 ms, 4 cycles; Settling time 2.000 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2019-02-08 T 14:47:01 +0900
% Frequency (Hz), Magnitude 1 (dB), Phase 1 (deg), Magnitude 2 (dB), Phase 2 (deg), Math (Ch 1 / Ch 2) magnitude (dB), Math (Ch 1 / Ch 2) phase (deg)
9.608975e+03, -1.448918e+01, -1.607340e+02, 1.459323e+01, 1.792300e+02, -2.908241e+01, 2.003608e+01
9.312132e+03, -1.444858e+01, -1.580901e+02, 1.457537e+01, 1.795148e+02, -2.902395e+01, 2.239503e+01
9.024458e+03, -1.424216e+01, -1.572479e+02, 1.458242e+01, 1.796908e+02, -2.882457e+01, 2.306136e+01
8.745672e+03, -1.371863e+01, -1.576193e+02, 1.462056e+01, 1.798683e+02, -2.833920e+01, 2.251235e+01
8.475498e+03, -1.310893e+01, -1.597980e+02, 1.469154e+01, 1.799021e+02, -2.780047e+01, 2.029993e+01
8.213670e+03, -1.230751e+01, -1.556460e+02, 1.474994e+01, -1.794884e+02, -2.705745e+01, 2.384236e+01
7.959931e+03, -1.176458e+01, -1.540665e+02, 1.480973e+01, -1.790810e+02, -2.657431e+01, 2.501458e+01
7.714030e+03, -1.146986e+01, -1.527641e+02, 1.484319e+01, -1.789017e+02, -2.631305e+01, 2.613766e+01
7.475726e+03, -1.115927e+01, -1.517731e+02, 1.486145e+01, -1.785649e+02, -2.602072e+01, 2.679185e+01
7.244783e+03, -1.088977e+01, -1.523653e+02, 1.488456e+01, -1.784738e+02, -2.577433e+01, 2.610857e+01
7.020975e+03, -1.045581e+01, -1.539492e+02, 1.494109e+01, -1.784596e+02, -2.539690e+01, 2.451036e+01
6.804081e+03, -9.450985e+00, -1.533048e+02, 1.507074e+01, -1.779082e+02, -2.452172e+01, 2.460338e+01
