% Moku:BodeAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 1 MOhm, amplitude 200 mVpp
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 1 MOhm, amplitude 100 mVpp
% Logarithmic sweep, calibration off
% Averaging time 2.000 ms, 4 cycles; Settling time 2.000 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2019-02-04 T 16:23:02 +0900
% Frequency (Hz), Magnitude 1 (dB), Phase 1 (deg), Magnitude 2 (dB), Phase 2 (deg), Math (Ch 1 / Ch 2) magnitude (dB), Math (Ch 1 / Ch 2) phase (deg)
4.558034e+02, -2.514996e+00, -4.823889e+01, -2.587981e+00, -1.313011e+02, 7.298488e-02, 8.306225e+01
4.460675e+02, -2.353088e+00, -4.855472e+01, -2.506811e+00, -1.305843e+02, 1.537234e-01, 8.202962e+01
4.365396e+02, -2.129837e+00, -4.540048e+01, -2.979375e+00, -1.285436e+02, 8.495380e-01, 8.314309e+01
4.272152e+02, -1.892174e+00, -4.271841e+01, -3.426986e+00, -1.262375e+02, 1.534812e+00, 8.351904e+01
4.180900e+02, -2.266784e+00, -4.072066e+01, -3.813746e+00, -1.289034e+02, 1.546962e+00, 8.818270e+01
4.091597e+02, -1.908455e+00, -4.241415e+01, -3.493953e+00, -1.263962e+02, 1.585498e+00, 8.398209e+01
4.004201e+02, -1.846582e+00, -4.126329e+01, -3.659359e+00, -1.258353e+02, 1.812777e+00, 8.457197e+01
3.918672e+02, -2.188938e+00, -3.772983e+01, -4.397226e+00, -1.282728e+02, 2.208288e+00, 9.054301e+01
3.834970e+02, -2.113375e+00, -4.007385e+01, -3.955581e+00, -1.277904e+02, 1.842206e+00, 8.771659e+01
3.753056e+02, -1.711342e+00, -3.963604e+01, -3.959892e+00, -1.246321e+02, 2.248550e+00, 8.499605e+01
3.672892e+02, -2.166696e+00, -3.585448e+01, -4.727304e+00, -1.282660e+02, 2.560608e+00, 9.241150e+01
3.594440e+02, -1.796550e+00, -3.873170e+01, -4.207992e+00, -1.250167e+02, 2.411441e+00, 8.628502e+01
3.517663e+02, -1.723876e+00, -3.697138e+01, -4.506092e+00, -1.243654e+02, 2.782216e+00, 8.739397e+01
3.442527e+02, -1.805413e+00, -3.674952e+01, -4.595897e+00, -1.249575e+02, 2.790484e+00, 8.820799e+01
3.368995e+02, -1.778763e+00, -3.539345e+01, -4.876771e+00, -1.246425e+02, 3.098008e+00, 8.924902e+01
3.297034e+02, -1.684092e+00, -3.331814e+01, -5.372171e+00, -1.236258e+02, 3.688079e+00, 9.030764e+01
3.226610e+02, -1.350464e+00, -3.618387e+01, -4.645824e+00, -1.208930e+02, 3.295361e+00, 8.470914e+01
3.157691e+02, -1.486058e+00, -3.230604e+01, -5.544784e+00, -1.217835e+02, 4.058726e+00, 8.947743e+01
3.090243e+02, -1.523951e+00, -3.325375e+01, -5.378975e+00, -1.224133e+02, 3.855024e+00, 8.915955e+01
3.024236e+02, -1.389886e+00, -3.286701e+01, -5.447699e+00, -1.208561e+02, 4.057813e+00, 8.798911e+01
2.959639e+02, -1.308200e+00, -3.241377e+01, -5.531730e+00, -1.198893e+02, 4.223530e+00, 8.747556e+01
2.896422e+02, -1.369813e+00, -3.018838e+01, -6.112302e+00, -1.204248e+02, 4.742490e+00, 9.023640e+01
2.834555e+02, -1.205242e+00, -3.245304e+01, -5.574042e+00, -1.189222e+02, 4.368801e+00, 8.646917e+01
2.774009e+02, -1.293768e+00, -2.873831e+01, -6.441718e+00, -1.196648e+02, 5.147950e+00, 9.092645e+01
2.714757e+02, -1.217734e+00, -2.991673e+01, -6.210407e+00, -1.190601e+02, 4.992673e+00, 8.914334e+01
2.656771e+02, -1.185818e+00, -2.938199e+01, -6.322138e+00, -1.183924e+02, 5.136319e+00, 8.901042e+01
2.600023e+02, -1.066742e+00, -2.993472e+01, -6.170630e+00, -1.169999e+02, 5.103888e+00, 8.706514e+01
2.544487e+02, -1.224126e+00, -2.578789e+01, -7.367944e+00, -1.190569e+02, 6.143817e+00, 9.326904e+01
2.490137e+02, -8.645097e-01, -3.077354e+01, -5.904467e+00, -1.149271e+02, 5.039957e+00, 8.415352e+01
2.436948e+02, -1.179698e+00, -2.559062e+01, -7.444645e+00, -1.184318e+02, 6.264946e+00, 9.284121e+01
2.384896e+02, -9.872708e-01, -2.778265e+01, -6.799479e+00, -1.159116e+02, 5.812208e+00, 8.812898e+01
2.333955e+02, -9.916870e-01, -2.560244e+01, -7.438723e+00, -1.158873e+02, 6.447036e+00, 9.028488e+01
2.284102e+02, -1.013833e+00, -2.487340e+01, -7.666415e+00, -1.161218e+02, 6.652582e+00, 9.124835e+01
2.235314e+02, -9.408041e-01, -2.650542e+01, -7.093187e+00, -1.152138e+02, 6.152383e+00, 8.870842e+01
2.187568e+02, -9.195858e-01, -2.431214e+01, -7.845559e+00, -1.148744e+02, 6.925973e+00, 9.056231e+01
2.140842e+02, -8.410038e-01, -2.408755e+01, -7.923972e+00, -1.136353e+02, 7.082969e+00, 8.954779e+01
2.095114e+02, -8.765979e-01, -2.406372e+01, -7.899226e+00, -1.143184e+02, 7.022628e+00, 9.025465e+01
2.050363e+02, -8.133586e-01, -2.253021e+01, -8.516614e+00, -1.133036e+02, 7.703255e+00, 9.077342e+01
2.006568e+02, -7.465641e-01, -2.409699e+01, -7.912411e+00, -1.123021e+02, 7.165847e+00, 8.820514e+01
1.963708e+02, -8.549333e-01, -2.131054e+01, -8.921207e+00, -1.140236e+02, 8.066274e+00, 9.271307e+01
1.921764e+02, -6.653969e-01, -2.246584e+01, -8.505138e+00, -1.108616e+02, 7.839741e+00, 8.839577e+01
1.880715e+02, -6.826279e-01, -2.287515e+01, -8.351791e+00, -1.115144e+02, 7.669164e+00, 8.863922e+01
