% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 1.00 kHz, RBW 1.569 Hz (Minimum mode), Hanning window, Video filter off, 32 averages
% Internal 10 MHz clock
% Acquired 2019-02-04 T 15:40:08 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
1.591335e+02, 7.640228e-06, 4.404419e-06
1.601589e+02, 7.460988e-06, 5.040234e-06
1.611844e+02, 7.879424e-06, 4.912735e-06
1.622099e+02, 9.242066e-06, 3.943022e-06
1.632353e+02, 1.016426e-05, 3.776599e-06
1.642608e+02, 9.387973e-06, 4.226004e-06
1.652862e+02, 9.072888e-06, 4.325731e-06
1.663117e+02, 9.318583e-06, 3.927242e-06
1.673371e+02, 1.059213e-05, 3.864334e-06
1.683626e+02, 1.104557e-05, 4.324679e-06
1.693880e+02, 1.174870e-05, 4.370756e-06
1.704135e+02, 1.516704e-05, 3.767131e-06
1.714390e+02, 2.696962e-05, 4.132167e-06
1.724644e+02, 3.473793e-05, 4.111759e-06
1.734899e+02, 2.586839e-05, 3.710535e-06
1.745153e+02, 1.389412e-05, 4.223058e-06
1.755408e+02, 1.463645e-05, 3.827515e-06
1.765662e+02, 2.683147e-05, 3.720423e-06
1.775917e+02, 5.074793e-05, 3.735151e-06
1.786172e+02, 3.971996e-05, 3.731154e-06
1.796426e+02, 3.301744e-05, 3.532540e-06
1.806681e+02, 3.605005e-05, 3.421662e-06
1.816935e+02, 4.145576e-05, 3.276068e-06
1.827190e+02, 3.808374e-05, 3.326563e-06
1.837444e+02, 2.630150e-05, 4.006982e-06
1.847699e+02, 2.026500e-05, 4.376437e-06
1.857953e+02, 1.909732e-05, 4.250199e-06
1.868208e+02, 1.693722e-05, 4.201388e-06
1.878463e+02, 1.430564e-05, 3.873171e-06
1.888717e+02, 1.087975e-05, 3.603864e-06
1.898972e+02, 8.582966e-06, 3.784804e-06
1.909226e+02, 8.972892e-06, 3.688233e-06
1.919481e+02, 1.017495e-05, 3.006762e-06
1.929735e+02, 1.082525e-05, 3.629743e-06
1.939990e+02, 1.288053e-05, 4.063158e-06
1.950245e+02, 1.604018e-05, 4.381907e-06
1.960499e+02, 1.712044e-05, 3.802688e-06
1.970754e+02, 1.659782e-05, 3.020438e-06
1.981008e+02, 1.487648e-05, 3.021490e-06
1.991263e+02, 1.249752e-05, 3.663827e-06
2.001517e+02, 1.210445e-05, 3.701909e-06
2.011772e+02, 1.214303e-05, 3.380004e-06
2.022026e+02, 1.200131e-05, 3.653307e-06
2.032281e+02, 1.478571e-05, 3.772181e-06
2.042536e+02, 1.576535e-05, 3.788592e-06
2.052790e+02, 1.338680e-05, 3.874223e-06
2.063045e+02, 1.038752e-05, 3.907886e-06
2.073299e+02, 9.875799e-06, 4.202019e-06
2.083554e+02, 8.649421e-06, 4.555904e-06
2.093808e+02, 9.148358e-06, 3.982787e-06
2.104063e+02, 9.194478e-06, 3.632268e-06
2.114318e+02, 9.314391e-06, 3.420610e-06
2.124572e+02, 1.100155e-05, 3.593134e-06
2.134827e+02, 1.333376e-05, 3.377479e-06
2.145081e+02, 1.544146e-05, 3.814260e-06
2.155336e+02, 1.977571e-05, 3.944495e-06
2.165590e+02, 2.906976e-05, 3.695597e-06
2.175845e+02, 2.460910e-05, 3.668245e-06
2.186099e+02, 1.903359e-05, 3.482466e-06
2.196354e+02, 1.745146e-05, 2.998346e-06
2.206609e+02, 1.441046e-05, 3.274806e-06
2.216863e+02, 1.377295e-05, 3.507503e-06
2.227118e+02, 1.496244e-05, 3.734730e-06
2.237372e+02, 1.505761e-05, 4.168355e-06
2.247627e+02, 2.637404e-05, 4.630174e-06
2.257881e+02, 3.369918e-05, 4.208120e-06
2.268136e+02, 3.728586e-05, 3.443753e-06
2.278391e+02, 3.070053e-05, 3.722527e-06
2.288645e+02, 3.702130e-05, 4.107130e-06
2.298900e+02, 1.127890e-04, 3.856549e-06
2.309154e+02, 2.191709e-04, 3.115536e-06
2.319409e+02, 1.428447e-04, 3.488988e-06
2.329663e+02, 3.139045e-05, 3.670349e-06
2.339918e+02, 3.374677e-05, 3.651203e-06
2.350172e+02, 8.656507e-05, 3.421872e-06
2.360427e+02, 8.967734e-05, 3.691599e-06
2.370682e+02, 4.358504e-05, 3.118903e-06
2.380936e+02, 3.381385e-05, 3.140573e-06
2.391191e+02, 3.387024e-05, 3.606810e-06
2.401445e+02, 4.031889e-05, 3.674136e-06
2.411700e+02, 2.723502e-05, 3.226625e-06
2.421954e+02, 1.868454e-05, 2.925339e-06
2.432209e+02, 1.515488e-05, 3.515498e-06
2.442464e+02, 8.943962e-06, 3.827094e-06
2.452718e+02, 8.525526e-06, 3.437862e-06
2.462973e+02, 9.162613e-06, 3.429657e-06
2.473227e+02, 9.244162e-06, 3.671822e-06
2.483482e+02, 9.728214e-06, 3.933975e-06
2.493736e+02, 1.045020e-05, 3.377268e-06
2.503991e+02, 1.077682e-05, 3.590189e-06
2.514245e+02, 1.127764e-05, 3.582404e-06
2.524500e+02, 1.032799e-05, 3.733258e-06
2.534755e+02, 9.038718e-06, 3.694545e-06
2.545009e+02, 1.028669e-05, 3.159930e-06
2.555264e+02, 1.384675e-05, 3.319830e-06
2.565518e+02, 1.217447e-05, 3.351390e-06
2.575773e+02, 1.398196e-05, 3.236093e-06
2.586027e+02, 1.264553e-05, 2.976465e-06
2.596282e+02, 6.563741e-06, 3.474892e-06
2.606537e+02, 6.456197e-06, 3.247454e-06
2.616791e+02, 7.075675e-06, 3.235462e-06
2.627046e+02, 6.806501e-06, 3.325511e-06
2.637300e+02, 6.903772e-06, 3.428815e-06
2.647555e+02, 7.373150e-06, 3.146254e-06
2.657809e+02, 8.041054e-06, 3.238197e-06
2.668064e+02, 8.440832e-06, 3.378110e-06
