% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 3.00 kHz, RBW 4.632 Hz (Minimum mode), Hanning window, Video filter off, 16 averages
% Internal 10 MHz clock
% Acquired 2019-02-08 T 14:53:32 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
5.870754e+02, 1.955078e-05, 2.617208e-06
5.901030e+02, 1.939771e-05, 2.907683e-06
5.931305e+02, 1.248666e-05, 2.754311e-06
5.961581e+02, 1.038052e-05, 2.078136e-06
5.991856e+02, 8.262429e-06, 2.324333e-06
6.022131e+02, 1.231020e-05, 2.246446e-06
6.052407e+02, 9.894983e-06, 2.221640e-06
6.082682e+02, 6.852315e-06, 2.242445e-06
6.112957e+02, 6.144866e-06, 2.311530e-06
6.143233e+02, 5.241553e-06, 2.763113e-06
6.173508e+02, 6.906530e-06, 2.497178e-06
6.203784e+02, 7.711246e-06, 2.053063e-06
6.234059e+02, 6.234427e-06, 2.739907e-06
6.264334e+02, 5.067216e-06, 2.815660e-06
6.294610e+02, 6.124137e-06, 2.143486e-06
6.324885e+02, 8.707309e-06, 2.159224e-06
6.355160e+02, 1.025801e-05, 2.347272e-06
6.385436e+02, 1.137340e-05, 2.818060e-06
6.415711e+02, 9.694602e-06, 2.909284e-06
6.445987e+02, 5.675537e-06, 2.372345e-06
6.476262e+02, 6.899886e-06, 2.135217e-06
6.506537e+02, 1.171304e-05, 2.133884e-06
6.536813e+02, 1.261980e-05, 3.043719e-06
6.567088e+02, 1.509827e-05, 2.740707e-06
6.597363e+02, 1.207978e-05, 2.588401e-06
6.627639e+02, 6.552008e-06, 2.900215e-06
6.657914e+02, 5.287530e-06, 2.941025e-06
6.688190e+02, 6.817767e-06, 2.538788e-06
6.718465e+02, 7.392602e-06, 2.608406e-06
6.748740e+02, 6.097827e-06, 2.588668e-06
6.779016e+02, 4.835475e-06, 2.677757e-06
6.809291e+02, 5.701050e-06, 2.252048e-06
6.839566e+02, 6.388301e-06, 2.301660e-06
6.869842e+02, 6.943205e-06, 2.286457e-06
6.900117e+02, 6.690468e-06, 2.190965e-06
6.930393e+02, 6.594795e-06, 2.464369e-06
6.960668e+02, 5.801506e-06, 2.514515e-06
6.990943e+02, 4.554834e-06, 2.132017e-06
7.021219e+02, 4.323624e-06, 2.266718e-06
7.051494e+02, 4.019596e-06, 2.393951e-06
7.081769e+02, 4.185961e-06, 2.410222e-06
7.112045e+02, 5.572157e-06, 2.257916e-06
7.142320e+02, 6.154699e-06, 2.440630e-06
7.172596e+02, 6.077364e-06, 2.547857e-06
7.202871e+02, 5.678726e-06, 1.895689e-06
7.233146e+02, 5.111598e-06, 1.862347e-06
7.263422e+02, 5.660920e-06, 1.900490e-06
7.293697e+02, 5.991524e-06, 2.499045e-06
7.323972e+02, 5.932260e-06, 2.816993e-06
7.354248e+02, 7.957605e-06, 2.844734e-06
7.384523e+02, 9.958234e-06, 2.818327e-06
7.414799e+02, 1.334373e-05, 2.426759e-06
7.445074e+02, 1.500632e-05, 2.840199e-06
7.475349e+02, 1.457526e-05, 2.581466e-06
7.505625e+02, 1.217652e-05, 2.293392e-06
7.535900e+02, 1.189163e-05, 2.257649e-06
7.566175e+02, 1.286191e-05, 2.105610e-06
7.596451e+02, 1.396321e-05, 2.369144e-06
7.626726e+02, 1.375273e-05, 2.863139e-06
7.657002e+02, 1.693386e-05, 2.677757e-06
7.687277e+02, 2.065262e-05, 2.534520e-06
7.717552e+02, 1.611267e-05, 2.533454e-06
7.747828e+02, 8.986887e-06, 2.545457e-06
7.778103e+02, 8.735745e-06, 2.579065e-06
7.808378e+02, 9.796653e-06, 2.594269e-06
7.838654e+02, 1.068827e-05, 2.680958e-06
7.868929e+02, 9.633211e-06, 2.803123e-06
7.899205e+02, 1.073850e-05, 3.066391e-06
7.929480e+02, 1.026146e-05, 2.721502e-06
7.959755e+02, 7.839076e-06, 2.663887e-06
7.990031e+02, 7.718688e-06, 2.481974e-06
8.020306e+02, 6.882346e-06, 2.523051e-06
8.050581e+02, 5.918706e-06, 2.508914e-06
8.080857e+02, 5.634610e-06, 2.142419e-06
8.111132e+02, 4.908292e-06, 1.787661e-06
8.141408e+02, 5.178569e-06, 1.984512e-06
8.171683e+02, 4.424612e-06, 2.428093e-06
8.201958e+02, 4.589382e-06, 2.090939e-06
8.232234e+02, 5.347591e-06, 2.157090e-06
8.262509e+02, 4.470057e-06, 1.957572e-06
8.292784e+02, 6.060355e-06, 1.774324e-06
8.323060e+02, 6.964731e-06, 2.150688e-06
8.353335e+02, 6.526761e-06, 2.376346e-06
8.383611e+02, 5.878311e-06, 2.881810e-06
8.413886e+02, 5.106814e-06, 1.876484e-06
8.444161e+02, 4.355515e-06, 2.046928e-06
8.474437e+02, 5.528573e-06, 2.387016e-06
8.504712e+02, 6.556792e-06, 2.385149e-06
8.534987e+02, 8.360494e-06, 2.280588e-06
8.565263e+02, 1.030027e-05, 2.241378e-06
8.595538e+02, 1.176034e-05, 2.628411e-06
8.625814e+02, 1.113289e-05, 2.479040e-06
8.656089e+02, 8.889885e-06, 2.196567e-06
8.686364e+02, 7.990293e-06, 1.999716e-06
8.716640e+02, 8.708106e-06, 1.903958e-06
8.746915e+02, 6.663627e-06, 1.815668e-06
8.777190e+02, 5.039311e-06, 2.082671e-06
8.807466e+02, 6.119885e-06, 1.787394e-06
8.837741e+02, 5.796723e-06, 2.020521e-06
8.868017e+02, 6.287313e-06, 2.230442e-06
8.898292e+02, 7.275668e-06, 2.234710e-06
8.928567e+02, 7.106380e-06, 2.239511e-06
8.958843e+02, 9.404128e-06, 2.499311e-06
8.989118e+02, 1.055672e-05, 2.323266e-06
9.019393e+02, 8.116794e-06, 2.164025e-06
9.049669e+02, 7.155280e-06, 2.078403e-06
9.079944e+02, 7.460902e-06, 2.034125e-06
9.110220e+02, 7.649856e-06, 2.257916e-06
9.140495e+02, 6.466434e-06, 2.449165e-06
9.170770e+02, 9.110996e-06, 2.549458e-06
9.201046e+02, 1.061652e-05, 2.396885e-06
9.231321e+02, 1.035342e-05, 2.028257e-06
9.261596e+02, 1.105661e-05, 1.869816e-06
9.291872e+02, 1.264133e-05, 2.015453e-06
9.322147e+02, 1.183901e-05, 2.097341e-06
9.352423e+02, 9.228461e-06, 2.002116e-06
9.382698e+02, 6.156294e-06, 1.820470e-06
9.412973e+02, 5.454160e-06, 1.642824e-06
9.443249e+02, 6.561044e-06, 2.032258e-06
9.473524e+02, 9.715597e-06, 2.057064e-06
9.503799e+02, 1.225572e-05, 1.819136e-06
9.534075e+02, 1.326507e-05, 1.901290e-06
9.564350e+02, 1.053838e-05, 2.016520e-06
9.594626e+02, 9.422199e-06, 2.143486e-06
9.624901e+02, 8.609244e-06, 2.284589e-06
9.655176e+02, 1.036989e-05, 2.171494e-06
9.685452e+02, 9.990657e-06, 2.117880e-06
9.715727e+02, 1.018466e-05, 1.933299e-06
9.746002e+02, 8.957654e-06, 2.050396e-06
9.776278e+02, 8.867296e-06, 2.302994e-06
9.806553e+02, 9.022499e-06, 2.215772e-06
9.836829e+02, 7.021072e-06, 2.594536e-06
9.867104e+02, 5.946876e-06, 2.429693e-06
9.897379e+02, 6.471218e-06, 2.129083e-06
9.927655e+02, 6.039360e-06, 1.497186e-06
9.957930e+02, 4.793750e-06, 1.754052e-06
9.988205e+02, 3.879276e-06, 1.973042e-06
1.001848e+03, 3.207438e-06, 2.172294e-06
